        e0     rho0         k0          q0        j0         l0       ksym0
-15.544036 0.163945 187.817368 -358.170047 34.587332  46.582138  -11.360377
-15.944049 0.157944 261.268055  482.744484 32.513705  56.982427   79.269244
-16.123314 0.161514 236.283733   62.361125 33.387398  57.430521   -5.820939
-15.963084 0.166568 228.690294   62.118263 32.829079  54.319673 -179.261710
-16.364494 0.152526 151.297915 -173.253102 33.615691  78.586556   91.461745
-15.807489 0.159530 218.284543  524.087133 30.530809  94.838379  166.432155
-15.589824 0.160035 246.383525  178.352890 33.286729  70.351628   15.115831
-16.096359 0.158718 267.402080  464.838697 33.640163  55.449697  -52.910811
-15.913209 0.155712 286.061310  684.290410 32.378275  55.110574  -47.686582
-16.093669 0.162783 251.401188  527.414427 32.049455  38.070641 -102.225009
-16.172336 0.155586 216.543475  -61.613961 33.664677  57.022082   54.978429
-16.493457 0.154334 213.496006 -183.760928 30.424280  31.945474 -131.364364
-16.035345 0.163633 232.202076  832.946035 34.364251  93.426772   34.812992
-15.595215 0.161864 187.836736 -273.173284 31.496990  44.499710 -184.524008
-16.308659 0.150647 243.916959  515.835848 33.654874  70.401031   54.471707
-16.123217 0.157409 236.233839   95.634345 31.542848  61.148578  126.526645
-16.135698 0.157948 279.631516   52.506311 31.869828  35.775730 -159.587537
-15.728408 0.164395 244.075807  321.945856 31.583534  88.353618  193.504539
-16.052553 0.153577 231.319414  179.278098 30.661001  41.760869  -75.647565
-16.330897 0.159439 290.171902   -6.530416 33.925926  31.712598 -197.955178
-15.507914 0.153536 260.034257  301.660362 34.096321  27.346662 -175.496440
-15.839565 0.158724 314.741196  750.401865 31.821751  43.567262 -161.080394
-16.066858 0.165621 263.616263  272.428216 31.970404  74.449720  -15.961674
-15.668692 0.154966 267.440008  436.363657 34.228623  34.835070 -177.941098
-16.049238 0.152774 290.155524  260.280169 34.063021  35.117834 -240.709316
-15.739485 0.161999 274.241520  182.479591 31.649747  51.256202   80.917967
-15.975914 0.167432 260.660076  459.211284 32.854478  49.388972 -133.447979
-16.565075 0.153745 229.122954  157.429647 34.780011  39.798738 -179.252309
-16.360480 0.164633 221.968575  442.818644 30.029692  52.388715  -66.592792
-15.757432 0.157067 175.786803  490.850243 33.367394  77.088567  131.766155
-15.749839 0.149685 145.355787 -239.076834 34.006203  72.311174   84.522871
-15.889849 0.155509 196.135671  -55.777571 33.759846  68.702735  112.827494
-15.978534 0.162901 244.273303  530.703962 32.429733  40.878402 -101.795693
-16.518896 0.167264 240.417091  582.483043 33.336604  36.076326  -67.968357
-16.208795 0.163374 196.601677 -319.927349 30.743982  57.007592   24.794048
-15.814701 0.151900 203.612688  406.170621 35.001872  87.713326  196.615638
-15.872422 0.164275 206.505557   78.454594 30.527188  38.198805 -115.134189
-15.898079 0.161804 204.266162  495.822200 31.952937  96.512585  215.960583
-16.096355 0.166010 251.288615  -22.349621 33.707496  71.751484   53.547797
-16.180420 0.158562 260.703694 -145.439329 31.934320  32.542350 -184.039772
-15.746337 0.169806 269.524478  676.064290 32.647139  46.181779  -80.277866
-15.768156 0.160657 274.579936  286.943532 32.054635  59.060251   91.572945
-16.166103 0.161682 230.085258   34.895505 31.232626  59.218191  -61.032788
-16.381754 0.163270 205.985433  435.738577 30.807369  93.573040  107.919895
-15.882124 0.161516 240.388957   95.632819 28.199993  51.315001   16.491428
-15.812087 0.162038 163.259932  198.872689 34.832159  62.348522  -12.711369
-16.071126 0.167037 201.640935  384.135809 33.274463  90.668413  262.926356
-15.814975 0.172150 178.495949  -13.412669 33.651036  55.037208  -71.071123
-16.131172 0.158730 245.585850  127.178228 31.525667  34.181052 -166.149212
-15.805096 0.165471 184.194247  -60.820220 29.695251  33.496314  -65.538342
-15.929903 0.164447 207.053037  -97.147376 32.007116  40.238071 -142.916043
-15.661484 0.164828 219.728388   40.372688 28.146943  45.049738   -0.604173
-16.211521 0.165371 168.426309  308.835272 31.679096  50.829691   20.672065
-15.699341 0.160375 216.248212  295.110911 34.322063  50.542338 -126.624401
-16.182086 0.158038 222.585158  185.578507 31.451975  35.827526  -74.154745
-16.056842 0.164691 263.468532   77.867318 30.442679  40.205249 -115.167201
-16.089815 0.162898 228.579071  -18.271468 32.304900  66.160607    0.857419
-15.947539 0.156887 194.286029  -23.403609 28.721126  67.885285   28.434899
